ID,Project_Key,Name,URL,Description,Start_Date,Last_Update_Date,SP_Field_ID,Repository_ID
1,XD,Spring XD,https://jira.spring.io/projects/XD/,"Spring XD makes it easy to solve common big data problems such as data ingestion and export, real-time analytics, and batch workflow orchestration",2013-04-12 06:37:17,2018-11-20 15:18:11,customfield_10142,1
4,MESOS,Apache Mesos,https://issues.apache.org/jira/projects/MESOS/,"Apache Mesos is an open-source project to manage computer clusters. It was developed in C++ language at the University of California, Berkeley.",2011-02-16 23:12:40,2020-10-19 16:53:27,customfield_12310293,3
5,USERGRID,Apache Usergrid,https://issues.apache.org/jira/projects/USERGRID/,"Apache Usergrid is an open-source Backend-as-a-Service composed of an in- tegrated distributed NoSQL database, application layer and client tier with SDKs for developers looking to rapidly build web and/or mobile applications. Apache Usergrid has been developed in Java.",2013-11-18 14:42:00,2019-05-31 07:44:13,customfield_12310293,3
