ID,Issue_ID,Name,Description,Direction,Target_Issue_ID
6537,19805,Blocker,blocks,OUTBOUND,22349
6538,19806,Reference,is related to,INBOUND,19697
6539,19808,Blocker,blocks,OUTBOUND,22349
6540,19809,Blocker,is blocked by,INBOUND,19721
6541,19809,Blocker,is blocked by,INBOUND,19321
6542,19810,Duplicate,duplicates,OUTBOUND,20581
6543,19810,Reference,is related to,INBOUND,20581
6544,19812,dependent,depends upon,OUTBOUND,20498
6545,19818,dependent,is depended upon by,INBOUND,19830
6546,19821,Blocker,blocks,OUTBOUND,19737
6547,19823,Reference,relates to,OUTBOUND,23074
6548,19824,Duplicate,is duplicated by,INBOUND,19512
6549,19825,Duplicate,is duplicated by,INBOUND,19753
6550,19825,Reference,is related to,INBOUND,19588
6551,19825,Reference,is related to,INBOUND,19656
6552,19825,Reference,is related to,INBOUND,21962
6553,19825,Reference,is related to,INBOUND,20111
6554,19830,dependent,depends upon,OUTBOUND,19818
6555,19830,dependent,is depended upon by,INBOUND,21456
6556,19831,Blocker,blocks,OUTBOUND,19832
6557,19832,Blocker,is blocked by,INBOUND,19831
6558,19833,dependent,is depended upon by,INBOUND,21456
6559,19834,dependent,is depended upon by,INBOUND,21456
6560,19835,Blocker,blocks,OUTBOUND,20143
6561,19841,Blocker,blocks,OUTBOUND,20349
6562,19841,Reference,relates to,OUTBOUND,21571
6563,19842,Duplicate,duplicates,OUTBOUND,19706
6564,19843,Reference,is related to,INBOUND,17771
6565,19846,Reference,relates to,OUTBOUND,20610
6566,19847,Reference,is related to,INBOUND,19589
6567,19848,Duplicate,duplicates,OUTBOUND,19974
6568,19849,Reference,relates to,OUTBOUND,19327
6569,19854,Blocker,blocks,OUTBOUND,20623
6570,19858,Reference,relates to,OUTBOUND,19916
6571,19858,Reference,relates to,OUTBOUND,17160
6572,19859,Blocker,blocks,OUTBOUND,24306
6573,19861,Blocker,blocks,OUTBOUND,24306
6574,19861,Blocker,blocks,OUTBOUND,20872
6575,19861,Blocker,blocks,OUTBOUND,19387
6576,19861,Blocker,blocks,OUTBOUND,19386
6577,19864,Duplicate,is duplicated by,INBOUND,21084
6578,19865,Reference,relates to,OUTBOUND,20044
6579,19867,Reference,is related to,INBOUND,19383
6580,19868,Blocker,blocks,OUTBOUND,19869
6581,19869,Blocker,blocks,OUTBOUND,19988
6582,19869,Blocker,is blocked by,INBOUND,19868
6583,19869,Blocker,is blocked by,INBOUND,19876
6584,19870,Reference,relates to,OUTBOUND,19617
6585,19871,Reference,is related to,INBOUND,17641
6586,19873,Duplicate,duplicates,OUTBOUND,21282
6587,19874,Reference,is related to,INBOUND,18828
6588,19875,Duplicate,duplicates,OUTBOUND,18642
6589,19875,Reference,is related to,INBOUND,20011
6590,19876,Blocker,blocks,OUTBOUND,19869
6591,19879,Duplicate,duplicates,OUTBOUND,21108
6592,19882,Blocker,is blocked by,INBOUND,18962
6593,19882,Reference,relates to,OUTBOUND,19231
6594,19882,Reference,is related to,INBOUND,17902
6595,19883,Reference,relates to,OUTBOUND,19985
6596,19885,Duplicate,is duplicated by,INBOUND,21492
6597,19886,Blocker,blocks,OUTBOUND,21571
6598,19886,Duplicate,is duplicated by,INBOUND,21492
6599,19886,Reference,is related to,INBOUND,17599
6600,19889,Cloners,is a clone of,OUTBOUND,19485
6601,19890,Cloners,is a clone of,OUTBOUND,19730
6602,19890,Supercedes,supercedes,OUTBOUND,21645
6603,19892,Reference,relates to,OUTBOUND,17145
6604,19892,Reference,relates to,OUTBOUND,16887
6605,19902,Reference,relates to,OUTBOUND,20837
6606,19903,dependent,is depended upon by,INBOUND,19914
6607,19904,Reference,relates to,OUTBOUND,19800
6608,19904,dependent,is depended upon by,INBOUND,21456
6609,19909,Duplicate,duplicates,OUTBOUND,20403
6610,19911,Duplicate,is duplicated by,INBOUND,14790
6611,19912,Reference,relates to,OUTBOUND,23358
6612,19914,dependent,depends upon,OUTBOUND,19903
6613,19915,Duplicate,duplicates,OUTBOUND,22448
6614,19915,Duplicate,is duplicated by,INBOUND,22448
6615,19916,Duplicate,is duplicated by,INBOUND,17159
6616,19916,Reference,is related to,INBOUND,19858
6617,19917,Reference,relates to,OUTBOUND,19533
6618,19917,Reference,is related to,INBOUND,22959
6619,19917,Reference,is related to,INBOUND,23136
6620,19917,Reference,is related to,INBOUND,21282
6621,19919,Duplicate,duplicates,OUTBOUND,20831
6622,19922,Reference,is related to,INBOUND,19785
6623,19925,Duplicate,is duplicated by,INBOUND,16825
6624,19928,Duplicate,is duplicated by,INBOUND,19594
6625,19930,Reference,is related to,INBOUND,15084
6626,19937,Duplicate,duplicates,OUTBOUND,20581
6627,19941,Blocker,blocks,OUTBOUND,21378
6628,19943,Reference,relates to,OUTBOUND,22661
6629,19943,Reference,is related to,INBOUND,20031
6630,19945,Blocker,blocks,OUTBOUND,19980
6631,19945,Blocker,blocks,OUTBOUND,21677
6632,19947,Duplicate,is duplicated by,INBOUND,19997
6633,19947,Reference,relates to,OUTBOUND,17619
6634,19947,Reference,relates to,OUTBOUND,21812
6635,19951,Blocker,is blocked by,INBOUND,22040
6636,19951,Reference,is related to,INBOUND,20020
6637,19955,Reference,relates to,OUTBOUND,18302
6638,19955,Reference,is related to,INBOUND,19246
6639,19957,Reference,relates to,OUTBOUND,17831
6640,19957,Reference,relates to,OUTBOUND,17639
6641,19958,Reference,relates to,OUTBOUND,21492
6642,19958,Reference,relates to,OUTBOUND,19377
6643,19958,Reference,is related to,INBOUND,18884
6644,19960,Reference,relates to,OUTBOUND,18860
6645,19962,Reference,relates to,OUTBOUND,20218
6646,19965,Reference,is related to,INBOUND,20107
6647,19965,Supercedes,supercedes,OUTBOUND,17472
6648,19965,Supercedes,supercedes,OUTBOUND,21308
6649,19966,Blocker,is blocked by,INBOUND,21079
6650,19967,Cloners,is a clone of,OUTBOUND,20166
6651,19972,Reference,relates to,OUTBOUND,22780
6652,19973,Reference,is related to,INBOUND,18068
6653,19974,Duplicate,is duplicated by,INBOUND,22142
6654,19974,Duplicate,is duplicated by,INBOUND,19848
6655,19974,Reference,relates to,OUTBOUND,19327
6656,19974,Reference,is related to,INBOUND,20207
6657,19974,Reference,is related to,INBOUND,19507
6658,19977,Reference,relates to,OUTBOUND,18619
6659,19977,Reference,is related to,INBOUND,20404
6660,19979,Reference,relates to,OUTBOUND,17924
6661,19979,Reference,relates to,OUTBOUND,18943
6662,19980,Blocker,blocks,OUTBOUND,19107
6663,19980,Blocker,is blocked by,INBOUND,19945
6664,19980,Reference,is related to,INBOUND,21677
6665,19981,Blocker,blocks,OUTBOUND,19991
6666,19981,Duplicate,duplicates,OUTBOUND,19991
6667,19983,dependent,is depended upon by,INBOUND,21456
6668,19984,Reference,relates to,OUTBOUND,18580
6669,19984,Reference,is related to,INBOUND,19985
6670,19985,Reference,relates to,OUTBOUND,19984
6671,19985,Reference,is related to,INBOUND,19883
6672,19987,Reference,is related to,INBOUND,15337
