dataset,seed,mode,ablation,solver_status,selected_count,total_value,capacity_used,avg_risk,objective_score,skill_coverage,sprint_completion_ratio,runtime_ms,feasibility_total,filtered_by_risk,filtered_by_skill,filtered_by_dependency,filtered_by_status,score_min,score_max,score_mean
spring_xd,42,learned_milp,all_constraints,milp-cbc:Optimal,30,165.26,30,0.3156666666666667,17.99661095740656,0.8,,61.5487610011769,2360,0,0,0,1956,0.4448770543252322,0.6783020692632007,0.5229753281509653
spring_xd,42,fixed_weight_milp,all_constraints,baseline:fixed_weight_milp:milp-cbc:Optimal,30,158.21,30,0.2866666666666667,21.63776923076923,1.0,,56.93841500033159,2360,0,0,0,1956,0.322,0.7363589743589742,0.6155678471693323
spring_xd,42,context_only,all_constraints,baseline:context_only:milp-cbc:Optimal,30,163.23,30,0.30533333333333335,22.02949835916254,1.0,,55.71897900153999,2360,0,0,0,1956,0.284047403661678,0.7665145384909081,0.6186155696342237
spring_xd,42,greedy_feasible,all_constraints,baseline:greedy_feasible,13,86.27,30,0.43230769230769234,8.168995038989516,0.8,,49.53815399858286,2360,0,0,0,1956,0.4448770543252322,0.6783020692632007,0.5229753281509653
spring_xd,42,random_feasible,all_constraints,baseline:random_feasible:seed-42,7,28.43,30,0.35285714285714287,4.02176923076923,0.6,,38.530717996764,2360,0,0,0,1956,0.322,0.7363589743589742,0.6155678471693323
spring_xd,42,learned_milp,no_risk,milp-cbc:Optimal,30,165.26,30,0.3156666666666667,17.99661095740656,0.8,,54.78196300100535,2360,0,0,0,1956,0.4448770543252322,0.6783020692632007,0.5229753281509653
spring_xd,42,learned_milp,no_skill,milp-cbc:Optimal,30,165.26,30,0.3156666666666667,17.99661095740656,0.8,,61.280936999537516,2360,0,0,0,1956,0.4448770543252322,0.6783020692632007,0.5229753281509653
spring_xd,42,learned_milp,no_dependency,milp-cbc:Optimal,30,165.26,30,0.3156666666666667,17.99661095740656,0.8,,55.76690900124959,2360,0,0,0,1956,0.4448770543252322,0.6783020692632007,0.5229753281509653
spring_xd,42,learned_milp,no_capacity,milp-cbc:Optimal,404,1784.39,1389,0.336980198019802,211.28203257298998,1.0,,49.63042799863615,2360,0,0,0,1956,0.4448770543252322,0.6783020692632007,0.5229753281509653
spring_xd,43,learned_milp,all_constraints,milp-cbc:Optimal,30,165.26,30,0.3156666666666667,17.989071461725256,0.8,,58.03382900194265,2360,0,0,0,1956,0.4442368374092376,0.67880294485042,0.5225585486165655
